b.country,b.state,b.city,b.latitude,b.longitude,bit_capacity_min,bit_load_min,bit_capacity_mean,bit_load_mean,bit_capacity_max,bit_load_max,bit_capacity_std,flit_capacity_min,flit_load_min,flit_capacity_mean,flit_load_mean,flit_capacity_max,flit_load_max,flit_capacity_std,a.ecor,region
United Kingdom,EN,CAMBRIDGE,52.2,0.12,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,126,GB
United Kingdom,EN,CARLISLE,54.88,-2.93,88800000000,510024960,88800000000.0,8141093226.010389,88800000000,42508066336,0.0,37566773104,1160228200,42465487656.60949,3548705687.7007966,43464009728,13684155072,943297465.0794945,127,GB
United Kingdom,EN,CROYDON,51.38,-0.1,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,128,GB
United Kingdom,EN,DORCHESTER,51.63,-1.17,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,129,GB
United Kingdom,EN,DOUGLAS,54.15,-4.48,1900000000,26562960,1900000000.0,396527677.71441764,1900000000,981162544,0.0,720054736,10698488,1195250742.0838046,118029645.43091308,1200000000,374090904,33595846.99443154,130,IM
United Kingdom,EN,KINGSTONUPONHULL,53.72,-0.33,58800000000,132001136,58800000000.0,986520804.2525684,58800000000,3174149720,0.0,5399991544,163499448,7128829093.234215,532489458.9375505,7320000000,1061864728,304164163.407531,131,GB
United Kingdom,EN,LEEDS,53.8,-1.58,69000000000,632022072,88092693062.4495,14834352097.41937,89000000000,45725038440,4162322999.1058426,9497133896,174995424,22500276600.68706,3745479938.983724,23889604312,10943425464,2873291169.680248,132,GB
United Kingdom,EN,LEICESTER,52.63,-1.13,92800000000,1966577008,92800000000.0,21942843110.520603,92800000000,55694835744,0.0,39362719104,1663280440,44267465833.79337,8062356771.77883,45576010752,17626544520,1151455636.9269025,133,GB
United Kingdom,EN,LONDON,51.5,-0.12,5726070100000,112199985544,6249559660198.546,466174509240.54486,6343570100000,923510212848,88388846767.4879,1333762981664,88688588032,1613648376393.1792,265458716873.53296,1662927286168,450649699448,46717695515.24381,134,GB
United Kingdom,EN,LUTON,51.88,-0.42,20000000000,262550432,20000000000.0,9896409614.871523,20000000000,19879740952,0.0,0,133390600,7441526197.659933,2437283118.917696,7872000000,5202533288,293794348.1870733,135,GB
United Kingdom,EN,MANCHESTER,53.5,-2.22,246150000000,6043194112,269894892069.7218,43791566056.797874,285350000000,110030873648,19128865243.616882,56785372216,3125854360,82663645208.4368,13413028489.12663,98554011648,31456438504,4444051080.624488,136,GB
United Kingdom,EN,ROCHDALE,53.62,-2.15,19600000000,103681248,19600000000.0,807077027.9976913,19600000000,3405932472,0.0,4471519112,72703344,5728840238.222324,261144365.86586633,5760000000,858119296,128024696.25205651,137,GB
United Kingdom,EN,SHEFFIELD,53.37,-1.5,209600000000,4008552272,231333533417.98453,29345259558.654507,248800000000,75854529744,19484657032.631954,30475466608,1637031560,40664902927.35172,9002613700.805725,47293196288,21442540688,6287520230.611932,138,GB
United Kingdom,EN,SOUTHAMPTON,50.9,-1.4,950000000,850848,950000000.0,1661072.060948863,950000000,20315784,0.0,319200000,10073568,475789962.2615722,18868241.498787947,478800000,89914328,21463883.30211413,139,GB
United Kingdom,EN,STAINES,51.43,-0.52,0,0,68330255.10793027,908931.8443957058,95000000,4346560,42691461.16767183,0,0,172544160.2936627,486400.05540805723,240000000,21151600,107877849.82579407,140,GB
United Kingdom,EN,STUDLEY,51.8,-1.13,3800000000,10275008,3800000000.0,88478769.54957867,3800000000,520446712,0.0,11444328,5097520,477773093.9822233,28129197.067066837,480000000,145060080,23392397.01760185,141,GB
United Kingdom,EN,SUNDERLAND,54.91,-1.38,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,142,GB
United Kingdom,EN,WOKINGHAM,51.42,-0.83,59200000000,1513889392,59200000000.0,13415949253.320097,59200000000,32728584688,0.0,16907604944,958957248,25234046325.14279,6427743284.488052,26977205248,16719182216,1560307352.804457,143,GB
United Kingdom,EN,WOLVERHAMPTON,52.58,-2.13,19600000000,0,19600000000.0,7682100888.701836,19600000000,19101100560,0.0,0,0,6564651979.304167,1836275998.4485743,7103999840,4883623968,835676185.1014913,144,GB
United Kingdom,EN,YORK,53.97,-1.08,88800000000,389861400,88800000000.0,7810395904.088653,88800000000,30172202936,0.0,35496168816,1051260632,41093388201.04906,3309001239.939051,42168009728,9402624400,834409697.4618974,145,GB
United Kingdom,NI,NEWCASTLE,54.2,-5.88,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,146,GB-NIR
United Kingdom,SC,GLASGOW,55.83,-4.25,39200000000,5613856,39200000000.0,1953243049.4563084,39200000000,13618173648,0.0,5760000000,41886240,11731960670.705297,566687464.6805956,11847598592,3650195624,327613194.4138325,147,GB
United Kingdom,,SAINTHELIER,49.18,-2.1,3800000000,33453432,3800000000.0,371589540.65797067,3800000000,1055137744,0.0,638854664,86385064,1110934481.4563084,267487230.08011082,1117200000,589283616,31870892.517848887,148,FR
