b.country,b.state,b.city,b.latitude,b.longitude,bit_capacity_min,bit_load_min,bit_capacity_mean,bit_load_mean,bit_capacity_max,bit_load_max,bit_capacity_std,flit_capacity_min,flit_load_min,flit_capacity_mean,flit_load_mean,flit_capacity_max,flit_load_max,flit_capacity_std,region
Australia,ACT,CANBERRA,-35.28,149.22,9800000000,30951552,9800000000.0,305032988.49913424,9800000000,1631267360,0.0,1685473144,36089864,2387987251.9348955,214242468.10481358,2400000000,615110240,63788112.83193618,AU-NSW
Australia,NSW,ABBOTSFORD,-33.85,151.13,0,0,0.0,1278731.0078857313,0,38869336,0.0,0,0,521679296.6046719,1523958.4466597233,720000000,76557232,317803270.6036932,AU-NSW
Australia,NSW,MASCOT,-33.93,151.2,950000000,0,950000000.0,80824149.25176036,950000000,263336160,0.0,0,0,317069053.6580861,83117628.89899573,319200000,203462648,19543731.771929193,AU-NSW
Australia,NSW,SYDNEY,-33.88,151.22,706050000000,13626091640,765971866673.786,76252578613.63223,936742222208,147255913384,53389732162.15052,141817905672,10698304352,175562210431.8938,33506246527.80515,181048955328,55350551192,4720881763.52669,AU-NSW
Australia,NSW,VILLAWOOD,-33.88,150.97,1900000000,2041976,1900000000.0,60703272.651968144,1900000000,260179104,0.0,480000000,2584368,716853506.8138058,22672707.285697795,720000000,145736336,26826016.69882953,AU-NSW
Australia,NT,DARWIN,-12.47,130.83,9800000000,0,9800000000.0,20463965.89634076,9800000000,347448656,0.0,0,0,572698173.0624495,18340784.00369387,576000000,235138768,28966263.060861573,AU-NT
Australia,QLD,BRISBANE,-27.5,153.02,48700000000,658482216,82841059679.095,9407841536.600254,107500000000,28309648112,11391327382.588257,17376083072,1240550480,29488580015.12917,4466968013.876024,30816590072,11488299168,1396965970.486469,AU-QLD
Australia,QLD,COORPAROO,-27.5,153.05,19600000000,13741384,19600000000.0,170582535.57612836,19600000000,546085488,0.0,1570524192,89757376,2704732272.3407598,179342729.85339952,2880000000,426730288,172029547.8296372,AU-QLD
Australia,QLD,GOLDCOAST,-28.0,153.43,950000000,0,950000000.0,61881192.266882144,950000000,244220768,0.0,0,0,355651297.7628997,64702216.955788985,478800000,163064376,71015485.05827236,AU-QLD
Australia,QLD,SAINTLUCIA,-27.5,153.0,0,1707120,9754750086.57509,133806866.6152603,9800000000,726573912,664418960.6654699,0,9982136,567623578.7029897,92300699.07976452,576000000,337519480,55062330.552976325,AU-QLD
Australia,SA,ADELAIDE,-34.93,138.6,80300000000,606308008,81150317441.99469,6844658232.727693,82200000000,14926506264,944810262.0091448,15454776968,811995144,20937338617.472008,3268762435.2219787,22593598976,6308480240,1058520080.3940008,AU-SA
Australia,SA,THEBARTON,-34.92,138.57,19600000000,3787344,19600000000.0,119857158.62495671,19600000000,409377808,0.0,0,73883240,2676999623.229828,134998780.69029206,2760000000,273529792,186002626.53703302,AU-SA
Australia,VIC,MELBOURNE,-37.82,144.97,253460000000,6142426824,291669742583.4007,28935555375.788525,302460000000,49569044864,5911461515.43223,72626340464,4426778264,89557201209.48863,14327137213.46231,92318912584,25270012688,2455936915.951679,AU-VIC
Australia,VIC,MOUNTWAVERLEY,-37.88,145.13,19600000000,12501488,19600000000.0,157588431.41729194,19600000000,612646976,0.0,1842733800,66709944,2888605189.2120514,151101530.55615836,3000000000,467835728,144268700.2184288,AU-VIC
Australia,VIC,PORTMELBOURNE,-37.83,144.93,49000000000,882616400,58671037746.739006,5974779630.064412,58800000000,15272890176,1116845022.497791,11754512904,390119560,15859166102.338682,1762102876.3153641,16211200000,4081729248,551081933.9333402,AU-VIC
Australia,VIC,SOUTHMELBOURNE,-37.83,144.97,950000000,0,950000000.0,137311099.43714648,950000000,423287376,0.0,0,0,474853937.8367771,117923307.75204894,478800000,295313424,26198651.218122747,AU-VIC
Australia,VIC,SUNSHINE,-37.78,144.83,98000000000,1470945568,98000000000.0,11029032620.223942,98000000000,27224151104,0.0,4613792000,1039227520,12682657286.558468,4548438462.772712,13409791120,8532339792,425105341.0500414,AU-VIC
Australia,VIC,TULLAMARINE,-37.7,144.87,19600000000,4295432,19600000000.0,244839051.2459887,19600000000,573749728,0.0,0,181657896,7135615574.087499,335456025.19404364,7200000000,664526752,281997091.6584201,AU-VIC
Australia,WA,PERTH,-31.93,115.83,98650000000,504216712,127803387971.83424,9703322657.613298,128050000000,23448799768,2669059965.06145,20855232472,1178799576,33299998791.244602,4547607520.118204,33944396160,10114766360,1128680995.6717958,AU-WA
Brazil,AL,MACEIO,-9.67,-35.72,950000000,0,950000000.0,7580398.986032552,950000000,73678144,0.0,0,0,469879931.80930394,36939249.94851668,478800000,286292552,36751309.65884815,BR-NE
Brazil,AM,MANAUS,-3.11,-60.03,950000000,15526112,950000000.0,412851380.9830313,950000000,996433288,0.0,0,50754104,633858993.6299204,353410313.26515067,638400000,615561280,33321238.902493965,BR-N
Brazil,BA,SALVADOR,-12.98,-38.52,11000000000,47198864,16067032205.933279,1375616668.5240679,16700000000,3264038448,1436096825.9534492,965267552,46683688,5363470893.43276,806819014.6369618,7187996032,1565155664,1576241639.2986705,BR-NE
Brazil,CE,FORTALEZA,-3.72,-38.5,2850000000,7290008,2850000000.0,414415238.0911924,2850000000,920311568,0.0,962102424,6986528,1373224364.6201086,115966537.77213436,1440000000,518366176,107634860.15410936,BR-NE
